query,City Key,City,INDUSTRY ID
?src=filters-directSearch&sort=r&k=walkin%20jobs&jobTypeFilter=6&jobPostType=1&qbusinessSize=62&qbusinessSize=211&qbusinessSize=213&qbusinessSize=217&industryTypeIdGid=101&industryTypeIdGid=102&industryTypeIdGid=108&industryTypeIdGid=109&industryTypeIdGid=111&industryTypeIdGid=112&industryTypeIdGid=113&industryTypeIdGid=117&industryTypeIdGid=119&industryTypeIdGid=131&industryTypeIdGid=139&industryTypeIdGid=183&functionAreaIdGid=2&functionAreaIdGid=4&functionAreaIdGid=5&functionAreaIdGid=6&functionAreaIdGid=7&functionAreaIdGid=8&functionAreaIdGid=14&functionAreaIdGid=16&functionAreaIdGid=19&functionAreaIdGid=37&cityTypeGid=97&cityTypeGid=6108,187,Bengaluru,1
?src=filters-directSearch&sort=r&k=walkin%20jobs&jobTypeFilter=6&jobPostType=1&qbusinessSize=62&qbusinessSize=211&qbusinessSize=213&qbusinessSize=217&industryTypeIdGid=101&industryTypeIdGid=102&industryTypeIdGid=108&industryTypeIdGid=109&industryTypeIdGid=112&industryTypeIdGid=113&industryTypeIdGid=117&industryTypeIdGid=119&industryTypeIdGid=131&industryTypeIdGid=183&functionAreaIdGid=2&functionAreaIdGid=4&functionAreaIdGid=5&functionAreaIdGid=6&functionAreaIdGid=7&functionAreaIdGid=8&functionAreaIdGid=14&functionAreaIdGid=16&functionAreaIdGid=19&functionAreaIdGid=37&cityTypeGid=183,190,Chennai,2
?src=filters-directSearch&sort=r&k=walkin%20jobs&jobTypeFilter=6&jobPostType=1&qbusinessSize=62&qbusinessSize=211&qbusinessSize=213&qbusinessSize=217&industryTypeIdGid=101&industryTypeIdGid=102&industryTypeIdGid=108&industryTypeIdGid=109&industryTypeIdGid=112&industryTypeIdGid=113&industryTypeIdGid=117&industryTypeIdGid=119&industryTypeIdGid=131&industryTypeIdGid=183&functionAreaIdGid=2&functionAreaIdGid=4&functionAreaIdGid=5&functionAreaIdGid=6&functionAreaIdGid=7&functionAreaIdGid=8&functionAreaIdGid=14&functionAreaIdGid=16&functionAreaIdGid=19&functionAreaIdGid=37&cityTypeGid=6&cityTypeGid=9508,192,Delhi,3
?src=filters-directSearch&sort=r&k=walkin%20jobs&jobTypeFilter=6&jobPostType=1&qbusinessSize=62&qbusinessSize=211&qbusinessSize=213&qbusinessSize=217&industryTypeIdGid=101&industryTypeIdGid=102&industryTypeIdGid=108&industryTypeIdGid=109&industryTypeIdGid=112&industryTypeIdGid=113&industryTypeIdGid=117&industryTypeIdGid=119&industryTypeIdGid=131&industryTypeIdGid=183&functionAreaIdGid=2&functionAreaIdGid=4&functionAreaIdGid=5&functionAreaIdGid=6&functionAreaIdGid=7&functionAreaIdGid=8&functionAreaIdGid=14&functionAreaIdGid=16&functionAreaIdGid=19&functionAreaIdGid=37&cityTypeGid=17,193,Hyderabad,4
?src=filters-directSearch&sort=r&k=walkin%20jobs&jobTypeFilter=6&jobPostType=1&qbusinessSize=62&qbusinessSize=211&qbusinessSize=213&qbusinessSize=217&industryTypeIdGid=101&industryTypeIdGid=102&industryTypeIdGid=108&industryTypeIdGid=109&industryTypeIdGid=112&industryTypeIdGid=113&industryTypeIdGid=117&industryTypeIdGid=119&industryTypeIdGid=131&industryTypeIdGid=183&functionAreaIdGid=2&functionAreaIdGid=4&functionAreaIdGid=5&functionAreaIdGid=6&functionAreaIdGid=7&functionAreaIdGid=8&functionAreaIdGid=14&functionAreaIdGid=16&functionAreaIdGid=19&functionAreaIdGid=37&cityTypeGid=232,196,Kolkata,5
?src=filters-directSearch&sort=r&k=walkin%20jobs&jobTypeFilter=6&jobPostType=1&qbusinessSize=62&qbusinessSize=211&qbusinessSize=213&qbusinessSize=217&industryTypeIdGid=101&industryTypeIdGid=102&industryTypeIdGid=108&industryTypeIdGid=109&industryTypeIdGid=112&industryTypeIdGid=113&industryTypeIdGid=117&industryTypeIdGid=119&industryTypeIdGid=131&industryTypeIdGid=183&functionAreaIdGid=2&functionAreaIdGid=4&functionAreaIdGid=5&functionAreaIdGid=6&functionAreaIdGid=7&functionAreaIdGid=8&functionAreaIdGid=14&functionAreaIdGid=16&functionAreaIdGid=19&functionAreaIdGid=37&cityTypeGid=134&cityTypeGid=135&cityTypeGid=138,199,Mumbai,6
?src=filters-directSearch&sort=r&k=walkin%20jobs&jobTypeFilter=6&jobPostType=1&qbusinessSize=62&qbusinessSize=211&qbusinessSize=213&qbusinessSize=217&industryTypeIdGid=101&industryTypeIdGid=102&industryTypeIdGid=108&industryTypeIdGid=109&industryTypeIdGid=112&industryTypeIdGid=113&industryTypeIdGid=117&industryTypeIdGid=119&industryTypeIdGid=131&industryTypeIdGid=183&functionAreaIdGid=2&functionAreaIdGid=4&functionAreaIdGid=5&functionAreaIdGid=6&functionAreaIdGid=7&functionAreaIdGid=8&functionAreaIdGid=14&functionAreaIdGid=16&functionAreaIdGid=19&functionAreaIdGid=37&cityTypeGid=220,200,Noida,7
?src=filters-directSearch&sort=r&k=walkin%20jobs&jobTypeFilter=6&jobPostType=1&qbusinessSize=62&qbusinessSize=211&qbusinessSize=213&qbusinessSize=217&industryTypeIdGid=101&industryTypeIdGid=102&industryTypeIdGid=108&industryTypeIdGid=109&industryTypeIdGid=112&industryTypeIdGid=113&industryTypeIdGid=117&industryTypeIdGid=119&industryTypeIdGid=131&industryTypeIdGid=183&functionAreaIdGid=2&functionAreaIdGid=4&functionAreaIdGid=5&functionAreaIdGid=6&functionAreaIdGid=7&functionAreaIdGid=8&functionAreaIdGid=14&functionAreaIdGid=16&functionAreaIdGid=19&functionAreaIdGid=37&cityTypeGid=139,201,Pune,8
?src=filters-directSearch&sort=r&k=walkin%20jobs&jobTypeFilter=6&jobPostType=1&qbusinessSize=62&qbusinessSize=211&qbusinessSize=213&qbusinessSize=217&industryTypeIdGid=101&industryTypeIdGid=102&industryTypeIdGid=108&industryTypeIdGid=109&industryTypeIdGid=112&industryTypeIdGid=113&industryTypeIdGid=117&industryTypeIdGid=119&industryTypeIdGid=131&industryTypeIdGid=183&functionAreaIdGid=2&functionAreaIdGid=4&functionAreaIdGid=5&functionAreaIdGid=6&functionAreaIdGid=7&functionAreaIdGid=8&functionAreaIdGid=14&functionAreaIdGid=16&functionAreaIdGid=19&functionAreaIdGid=37&cityTypeGid=51,186,Ahmedabad,9
?src=filters-directSearch&sort=r&k=walkin%20jobs&jobTypeFilter=6&jobPostType=1&qbusinessSize=62&qbusinessSize=211&qbusinessSize=213&qbusinessSize=217&industryTypeIdGid=101&industryTypeIdGid=102&industryTypeIdGid=108&industryTypeIdGid=109&industryTypeIdGid=112&industryTypeIdGid=113&industryTypeIdGid=117&industryTypeIdGid=119&industryTypeIdGid=131&industryTypeIdGid=183&functionAreaIdGid=2&functionAreaIdGid=4&functionAreaIdGid=5&functionAreaIdGid=6&functionAreaIdGid=7&functionAreaIdGid=8&functionAreaIdGid=14&functionAreaIdGid=16&functionAreaIdGid=19&functionAreaIdGid=37&cityTypeGid=184,349,Coimbatore,10
?src=filters-directSearch&sort=r&k=walkin%20jobs&jobTypeFilter=6&jobPostType=1&qbusinessSize=62&qbusinessSize=211&qbusinessSize=213&qbusinessSize=217&industryTypeIdGid=101&industryTypeIdGid=102&industryTypeIdGid=108&industryTypeIdGid=109&industryTypeIdGid=112&industryTypeIdGid=113&industryTypeIdGid=117&industryTypeIdGid=119&industryTypeIdGid=131&industryTypeIdGid=183&functionAreaIdGid=2&functionAreaIdGid=4&functionAreaIdGid=5&functionAreaIdGid=6&functionAreaIdGid=7&functionAreaIdGid=8&functionAreaIdGid=14&functionAreaIdGid=16&functionAreaIdGid=19&functionAreaIdGid=37&cityTypeGid=73,255,Gurugram,11
?src=filters-directSearch&sort=r&k=walkin%20jobs&jobTypeFilter=6&jobPostType=1&qbusinessSize=62&qbusinessSize=211&qbusinessSize=213&qbusinessSize=217&industryTypeIdGid=101&industryTypeIdGid=102&industryTypeIdGid=108&industryTypeIdGid=109&industryTypeIdGid=112&industryTypeIdGid=113&industryTypeIdGid=117&industryTypeIdGid=119&industryTypeIdGid=131&industryTypeIdGid=183&functionAreaIdGid=2&functionAreaIdGid=4&functionAreaIdGid=5&functionAreaIdGid=6&functionAreaIdGid=7&functionAreaIdGid=8&functionAreaIdGid=14&functionAreaIdGid=16&functionAreaIdGid=19&functionAreaIdGid=37&cityTypeGid=110,286,Kochi,12
?src=filters-directSearch&sort=r&k=walkin%20jobs&jobTypeFilter=6&jobPostType=1&qbusinessSize=211&industryTypeIdGid=102&industryTypeIdGid=109&industryTypeIdGid=112&functionAreaIdGid=2&functionAreaIdGid=14&cityTypeGid=173,338,Jaipur,13
?src=filters-directSearch&sort=r&k=walkin%20jobs&jobTypeFilter=6&jobPostType=1&qbusinessSize=217&industryTypeIdGid=112&functionAreaIdGid=14&cityTypeGid=156,323,Cuttack,14
?src=filters-directSearch&sort=r&k=walkin%20jobs&jobTypeFilter=6&jobPostType=1&qbusinessSize=217&industryTypeIdGid=112&functionAreaIdGid=14&cityTypeGid=58,239,Gandhinagar,15
?src=filters-directSearch&sort=r&k=walkin%20jobs&jobTypeFilter=6&jobPostType=1&qbusinessSize=217&industryTypeIdGid=112&functionAreaIdGid=14&cityTypeGid=65,247,Vadodara,16
?src=filters-directSearch&sort=r&k=walkin%20jobs&jobTypeFilter=6&jobPostType=1&qbusinessSize=62&qbusinessSize=211&qbusinessSize=213&qbusinessSize=217&industryTypeIdGid=101&industryTypeIdGid=102&industryTypeIdGid=108&industryTypeIdGid=109&industryTypeIdGid=112&industryTypeIdGid=113&industryTypeIdGid=117&industryTypeIdGid=119&industryTypeIdGid=131&industryTypeIdGid=183&functionAreaIdGid=2&functionAreaIdGid=4&functionAreaIdGid=5&functionAreaIdGid=6&functionAreaIdGid=7&functionAreaIdGid=8&functionAreaIdGid=14&functionAreaIdGid=16&functionAreaIdGid=19&functionAreaIdGid=37&cityTypeGid=213,375,Ghaziabad,17
?src=filters-directSearch&sort=r&k=walkin%20jobs&jobTypeFilter=6&jobPostType=1&qbusinessSize=217&industryTypeIdGid=112&functionAreaIdGid=14&cityTypeGid=229,390,Durgapur,18
?src=filters-directSearch&sort=r&k=walkin%20jobs&jobTypeFilter=6&jobPostType=1&qbusinessSize=217&industryTypeIdGid=112&functionAreaIdGid=14&cityTypeGid=231,392,Kharagpur,19
?src=filters-directSearch&sort=r&k=walkin%20jobs&jobTypeFilter=6&jobPostType=1&qbusinessSize=217&industryTypeIdGid=112&functionAreaIdGid=14&cityTypeGid=233,394,Siliguri,20
?src=filters-directSearch&sort=r&k=walkin%20jobs&jobTypeFilter=6&jobPostType=1&qbusinessSize=217&industryTypeIdGid=112&functionAreaIdGid=14&cityTypeGid=123,296,Bhopal,21
?src=filters-directSearch&sort=r&k=walkin%20jobs&jobTypeFilter=6&jobPostType=1&qbusinessSize=217&industryTypeIdGid=112&functionAreaIdGid=14&cityTypeGid=38,224,Patna,22
?src=filters-directSearch&sort=r&k=walkin%20jobs&jobTypeFilter=6&jobPostType=1&qbusinessSize=217&industryTypeIdGid=112&functionAreaIdGid=14&cityTypeGid=63,244,Rajkot,23
?src=filters-directSearch&sort=r&k=walkin%20jobs&jobTypeFilter=6&jobPostType=1&qbusinessSize=211&industryTypeIdGid=102&industryTypeIdGid=109&functionAreaIdGid=2&functionAreaIdGid=37&cityTypeGid=27,216,Warangal,24
?src=filters-directSearch&sort=r&k=walkin%20jobs&jobTypeFilter=6&jobPostType=1&qbusinessSize=211&industryTypeIdGid=102&industryTypeIdGid=109&functionAreaIdGid=2&functionAreaIdGid=37&cityTypeGid=26,215,Visakhapatnam,25
?src=filters-directSearch&sort=r&k=walkin%20jobs&jobTypeFilter=6&jobPostType=1&qbusinessSize=211&industryTypeIdGid=102&industryTypeIdGid=109&functionAreaIdGid=2&functionAreaIdGid=37&cityTypeGid=4,189,Chandigarh,26
?src=filters-directSearch&sort=r&k=walkin%20jobs&jobTypeFilter=6&jobPostType=1&qbusinessSize=211&industryTypeIdGid=102&functionAreaIdGid=2&cityTypeGid=194,405,Tiruchirappalli,27
